Description,Data.Sugar Total,Data.Water,Data.Vitamins.Vitamin K
"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",9.550000191,82.17,0.2
"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",2.900000095,74.1,1.2
"CHEESE,PARMESAN,DRY GRATED,RED FAT",0,50.6,1.7
"CREAM SUB,FLAV,LIQ",33.04000092,50.06,3.3
"CREAM SUB,FLAV,POWDERED",58.00999832,1.52,9.1
"CHEESE,PROVOLONE,RED FAT",0.550000012,50.6,1.5
"CHEESE,MEXICAN,BLEND,RED FAT",0.560000002,48.2,1.6
"EGG MIX,USDA CMDTY",2.460000038,2.78,0.7
"ALLSPICE,GROUND",0,8.46,0
ANISE SEED,0,9.54,0
"SPICES,BASIL,DRIED",1.710000038,6.43,1714.5
"SPICES,BAY LEAF",0,5.44,0
CARAWAY SEED,0.639999986,9.87,0
"SPICES,CARDAMOM",0,8.28,0
CELERY SEED,0.670000017,6.04,0
"CHERVIL,DRIED",0,7.2,0
CHILI POWDER,7.190000057,7.79,105.7
"CINNAMON,GROUND",2.170000076,10.58,31.2
"CLOVES,GROUND",2.380000114,6.86,141.8
"CORIANDER LEAF,DRIED",7.269999981,7.3,1359.5
CORIANDER SEED,0,8.86,0
CUMIN SEED,2.25,8.06,5.4
CURRY POWDER,2.75999999,9.52,99.8
DILL SEED,0,7.7,0
"DILL WEED,DRIED",0,7.3,0
FENNEL SEED,0,8.81,0
FENUGREEK SEED,0,8.84,0
GARLIC POWDER,24.29999924,6.45,0
"GINGER,GROUND",3.390000105,9.38,0.8
"MACE,GROUND",0,8.17,0
"MARJORAM,DRIED",4.090000153,7.64,621.7
"MUSTARD SEED,YELLOW",6.789999962,6.86,5.4
"NUTMEG,GROUND",28.48999977,6.23,0
ONION POWDER,35.47999954,5.01,4.1
"SPICES,OREGANO,DRIED",4.090000153,7.16,621.7
PAPRIKA,10.34000015,9.54,80.3
"PARSLEY,DRIED",7.269999981,9.02,1359.5
"PEPPER,BLACK",0.639999986,10.51,163.7
"PEPPER,RED OR CAYENNE",10.34000015,8.05,80.3
"PEPPER,WHITE",0,11.42,0
POPPY SEED,2.99000001,5.95,0
POULTRY SEASONING,3.079999924,9.31,805.4
PUMPKIN PIE SPICE,7.760000229,8.46,28.4
"ROSEMARY,DRIED",0,9.31,0
SAFFRON,0,11.9,0
"SAGE,GROUND",1.710000038,7.96,1714.5
"SAVORY,GROUND",0,9,0
"SPICES,TARRAGON,DRIED",0,7.74,0
"SPICES,THYME,DRIED",1.710000038,7.79,1714.5
"TURMERIC,GROUND",3.210000038,11.36,13.4
"BASIL,FRESH",0.300000012,92.06,414.8
"DILL WEED,FRSH",0,85.95,0
"MUSTARD,PREPARED,YELLOW",0.860000014,82.65,1.8
"SALT,TABLE",0,0.2,0
"VINEGAR,CIDER",0.400000006,93.81,0
"THYME,FRSH",0,65.11,0
VANILLA EXTRACT,12.64999962,52.58,0
"VANILLA EXTRACT,IMITN,ALCOHOL",0,64.46,0
"VANILLA EXTRACT,IMITN,NO ALCOHOL",14.39999962,85.58,0
"VINEGAR,DISTILLED",0.039999999,94.78,0
"CAPERS,CANNED",0.409999996,83.85,24.6
"HORSERADISH,PREPARED",7.989999771,85.08,1.3
"ROSEMARY,FRESH",0,67.77,0
"PEPPERMINT,FRESH",0,78.65,0
"SPEARMINT,FRESH",0,85.55,0
"SPEARMINT,DRIED",0,11.3,0
"VINEGAR,RED WINE",0,94.47,0
"VINEGAR,BALSAMIC",14.94999981,76.45,0
"CAMPBELL SOUP CO,PACE,DRY TACO SEAS MIX",18.76000023,5.7,0
"BABYFOOD,MEAT,BF,STR",0,82.44,0.6
"BABYFOOD,MEAT,BF,STR",0,82.44,0.6
"BABYFOOD,MEAT,VEAL,STR",0,82.37,0
