year,address.city,address.state,business.name,industry.division,industry.major_group
2003,Fairfield,AL,Harbisn-Wlker Refractories Co,Manufacturing,"Stone, Clay, Glass, And Concrete Products"
2003,Booneville,MS,"England, Inc.",Manufacturing,Furniture And Fixtures
2003,Graham,NC,Cable Assembly LLC,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2003,JOURDANTON,TX,Advanced Healthcare Tech,Services,Health Services
2003,Southfield,MI,Autoliv Asp Inc,Manufacturing,Transportation Equipment
2003,Hempstead,NY,Home Depot USA Inc,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers"
2003,Los Angeles,CA,Home Depot USA Inc,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers"
2003,Boyden,IA,S I G International Iowa Inc,Manufacturing,Food And Kindred Products
2003,Columbus,OH,York International Corporation,Services,Miscellaneous Repair Services
2003,Buford,GA,Lowes Companies Inc,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers"
2003,Greenwood,MS,United Parcel Service Inc OH,"Transportation, Communications, Electric, Gas, And Sanitary Services",Motor Freight Transportation And Warehousing
2003,Cherry Hill,NJ,Pitt-Ohio Express LLC,"Transportation, Communications, Electric, Gas, And Sanitary Services",Motor Freight Transportation And Warehousing
2003,Shelby Township,MI,Crown Group Incorporated,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2003,CHARLOTTE,NC,Con-Way Southern Express Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",Motor Freight Transportation And Warehousing
2003,Wayne,MI,Metal Improvement Company Inc,Manufacturing,Primary Metal Industries
2003,BROWNSVILLE,TX,Ups/Swr/0680 402,"Transportation, Communications, Electric, Gas, And Sanitary Services",Motor Freight Transportation And Warehousing
2003,Concord,NC,Competitive Edge Distributing,Wholesale Trade,Wholesale Trade-durable Goods
2003,Jackson,MI,Alro Steel Corporation,Wholesale Trade,Wholesale Trade-durable Goods
2003,Stillwater,OK,Grace Living Centers,Services,Health Services
2003,FRISCO,TX,Deka Texas Inc,Manufacturing,Industrial And Commercial Machinery And Computer Equipment
2003,Woodside,NY,Menkos Corp,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers"
2003,Stoughton,WI,Con-Way Transport Service,"Transportation, Communications, Electric, Gas, And Sanitary Services",Motor Freight Transportation And Warehousing
2003,Townsend,DE,Willeys Inc,Wholesale Trade,Wholesale Trade-non-durable Goods
2003,Fort Worth,TX,"Mother Parkers Tea & Coffee USA, Ltd",Manufacturing,Food And Kindred Products
2003,Rockwood,TN,Imco Recycling Inc,Manufacturing,Primary Metal Industries
2003,Charlotte,NC,Gordons International Services,Wholesale Trade,Wholesale Trade-durable Goods
2003,Charlotte,NC,Gamble Associates Inc,Services,Miscellaneous Repair Services
2003,Lakewood,NJ,Plasplugs Inc,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2003,TROY,AL,SIKORSKY SUPPORT SERVICES INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",Transportation By Air
2003,Saint Croix,IN,Phil Etiennes Timber Harvest,Manufacturing,"Lumber And Wood Products, Except Furniture"
2003,TRUMANN,AR,Columbia Forest Products Inc,Manufacturing,"Lumber And Wood Products, Except Furniture"
2003,IRVINGTON,NJ,Craig Manufacturing Inc,Manufacturing,Furniture And Fixtures
2003,San Gabriel,CA,Life Care Centers of America,Services,Health Services
2003,CLEARWATER,FL,D-REP PLASTICS INC,Manufacturing,Rubber And Miscellaneous Plastics Products
2003,Rockledge,FL,Stark Truss Company Inc,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers"
2003,Barboursville,WV,Home Depot USA Inc,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers"
2003,HARTFORD CITY,IN,VENTURE INDUSTRIES,Manufacturing,Rubber And Miscellaneous Plastics Products
2003,Baltimore,MD,Voest-Alpine Svcs & Tech Corp,Manufacturing,Industrial And Commercial Machinery And Computer Equipment
2003,ANTIOCH,TN,INNOVATIVE PLASTICS SOUTH CORP,Manufacturing,Rubber And Miscellaneous Plastics Products
2003,Chickasha,OK,American Mattress Inc,Manufacturing,Furniture And Fixtures
2003,MIDLOTHIAN,VA,Mechanicsville Concrete Inc,Manufacturing,"Stone, Clay, Glass, And Concrete Products"
2003,Greenville,NC,Calmaine Foods Inc,Wholesale Trade,Wholesale Trade-non-durable Goods
2003,PRESCOTT,AZ,PRESCOTT SAMARITAN VILLAGE,Services,Health Services
2003,Chatsworth,CA,Golden State Health Centers,Services,Health Services
2003,Springfield,MO,Pepsi-Cola Gen Bottlers Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",Motor Freight Transportation And Warehousing
2003,SAINTE GENEVIEVE,MO,Eric Scott Leathers Ltd,Manufacturing,Leather And Leather Products
2003,San Jose,CA,Ionics Ultrapure Water Corp,Manufacturing,Industrial And Commercial Machinery And Computer Equipment
2003,Ocala,FL,Manning Bldg Sups of Jcksnvlle,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers"
2003,HOUSTON,TX,Associated Wear Coatings Inc,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2003,Marysville,MI,Craft Tech Inc,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2003,WINDSOR LOCKS,CT,Windsor Marketing Group Inc,Manufacturing,Miscellaneous Manufacturing Industries
2003,Fredericksburg,VA,Stock Building Supply Inc,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers"
2003,Maple Plain,MN,Protomold Co Inc,Manufacturing,Rubber And Miscellaneous Plastics Products
2003,BROOKLYN,IA,Brooklyn Community Estate,Services,Health Services
2003,Oaks,PA,Lowes Companies Inc,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers"
2003,Danville,IN,Extendicare Health Services,Services,Health Services
2003,ORLANDO,FL,UNITED PARCEL SERVICE INC OHIO,"Transportation, Communications, Electric, Gas, And Sanitary Services",Motor Freight Transportation And Warehousing
